model,image,precision,recall,f1,mean_iou,true_pos,false_pos,false_neg
RGB-augment,img2655,0.8823529411764706,0.7317073170731707,0.8,0.8657938812409749,30,4,11
RGB-augment,img2656,0.9436619718309859,0.8933333333333333,0.9178082191780823,0.8555773156096759,67,4,8
RGB-augment,img2668,0.9444444444444444,0.7846153846153846,0.857142857142857,0.8150639208947729,51,3,14
RGB-augment,img2672,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8101061290469189,52,10,10
RGB-augment,img2678,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.8676255703495629,25,2,2
RGB-augment,img2680,0.9305555555555556,0.9178082191780822,0.9241379310344828,0.8366049050020098,67,5,6
RGB-augment,img2694,0.8205128205128205,0.7111111111111111,0.7619047619047619,0.8315440358590354,32,7,13
RGB-augment,img2695,0.8958333333333334,0.8269230769230769,0.86,0.8152777037168989,43,5,9
RGB-augment,img2697,0.9,0.7659574468085106,0.8275862068965516,0.8584125612350567,36,4,11
RGB-augment,img2699,0.851063829787234,0.7407407407407407,0.7920792079207921,0.806734166636159,40,7,14
RGB-augment,img2714,0.918918918918919,0.8947368421052632,0.9066666666666667,0.8920716942528523,34,3,4
RGB-augment,img2720,0.7058823529411765,0.7741935483870968,0.7384615384615385,0.818021387711954,24,10,7
RGB-augment,img2734,0.7741935483870968,0.6153846153846154,0.6857142857142857,0.8602350147861676,24,7,15
RGB-augment,img2735,0.8732394366197183,0.8157894736842105,0.8435374149659864,0.8243432924281989,62,9,14
RGB-augment,img2739,0.7567567567567568,0.8484848484848485,0.8000000000000002,0.8398408503891213,28,9,5
RGB-augment,img2740,0.9230769230769231,0.8888888888888888,0.9056603773584906,0.8425067920476254,24,2,3
RGB-augment,img2767,0.8095238095238095,0.8717948717948718,0.8395061728395062,0.7668066723644295,34,8,5
RGB-augment,img2774,0.775,0.7560975609756098,0.7654320987654322,0.7900203638341694,31,9,10
RGB-augment,img2781,0.9555555555555556,0.9148936170212766,0.9347826086956522,0.8713479934144602,43,2,4
RGB-augment,img2785,0.9375,0.9574468085106383,0.9473684210526315,0.8437203991428338,45,3,2
RGB-augment,img2788,0.6875,0.7857142857142857,0.7333333333333334,0.8200926002362123,11,5,3
RGB-augment,img2794,0.7777777777777778,0.6774193548387096,0.7241379310344828,0.8497362397588742,21,6,10
RGB-augment,img2806,0.875,0.9210526315789473,0.8974358974358975,0.8335170622336385,35,5,3
RGB-augment,img2808,0.6666666666666666,0.9333333333333333,0.7777777777777778,0.8328664795010303,14,7,1
RGB-augment,img2811,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.851611006384472,2,1,1
RGB-augment,img2814,0.8045977011494253,0.7,0.7486631016042781,0.8344064658067333,70,17,30
RGB-augment,img2819,0.8823529411764706,0.9183673469387755,0.9,0.8743838692622546,45,6,4
RGB-augment,img282,0.9375,0.9375,0.9375,0.81902528462033,30,2,2
RGB-augment,img2824,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8155851019791709,25,5,5
