image,precision,recall,f1,mean_iou,true_pos,false_pos,false_neg,model
img4249,0.5,1.0,0.6666666666666666,0.8979805107840247,1,1,0,RGB-augment
img4253,0.8235294117647058,0.7777777777777778,0.7999999999999999,0.8147613358671786,28,6,8,RGB-augment
img4256,0.8448275862068966,0.875,0.8596491228070176,0.8340750316728371,49,9,7,RGB-augment
img4259,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.813323228079032,28,2,2,RGB-augment
img4260,0.7142857142857143,0.6666666666666666,0.689655172413793,0.8292217171307488,10,4,5,RGB-augment
img4266,0.0,0.0,0.0,0.0,0,9,0,RGB-augment
img427,0.75,0.6,0.6666666666666665,0.7741184576917105,6,2,4,RGB-augment
img4270,0.9107142857142857,0.85,0.8793103448275861,0.8808463322765061,51,5,9,RGB-augment
img4271,0.9333333333333333,0.8936170212765957,0.9130434782608695,0.8686099284798668,42,3,5,RGB-augment
img4277,0.7551020408163265,0.8409090909090909,0.7956989247311828,0.8315820841067116,37,12,7,RGB-augment
img4287,1.0,0.9285714285714286,0.962962962962963,0.8683374894262472,52,0,4,RGB-augment
img4291,0.9830508474576272,0.9830508474576272,0.9830508474576272,0.8590046891641344,58,1,1,RGB-augment
img4300,0.0,0.0,0.0,0.0,0,12,1,RGB-augment
img4303,0.9574468085106383,0.8653846153846154,0.9090909090909091,0.8114106524317818,45,2,7,RGB-augment
img4304,0.9361702127659575,0.7719298245614035,0.8461538461538461,0.8348830914059939,44,3,13,RGB-augment
img4306,0.8918918918918919,0.9166666666666666,0.9041095890410958,0.8026891808101319,33,4,3,RGB-augment
img4314,0.8076923076923077,0.84,0.8235294117647058,0.8440722937276236,21,5,4,RGB-augment
img4316,0.9019607843137255,0.8070175438596491,0.8518518518518519,0.8194166390127715,46,5,11,RGB-augment
img4319,0.9215686274509803,0.8245614035087719,0.8703703703703703,0.8423417810040359,47,4,10,RGB-augment
img4327,0.3076923076923077,0.6666666666666666,0.42105263157894735,0.7854924089880795,4,9,2,RGB-augment
img434,0.9130434782608695,0.84,0.8749999999999999,0.8166519353742332,21,2,4,RGB-augment
img4342,1.0,1.0,1.0,0.9495038118755618,2,0,0,RGB-augment
img4343,0.0,0.0,0.0,0.0,0,5,0,RGB-augment
img4344,0.0,0.0,0.0,0.0,0,1,0,RGB-augment
img435,0.9,0.8571428571428571,0.8780487804878048,0.8126155729064279,18,2,3,RGB-augment
img4350,0.9473684210526315,0.972972972972973,0.9599999999999999,0.8253426230923965,36,2,1,RGB-augment
img4361,0.8235294117647058,0.8,0.8115942028985507,0.8518148187242515,28,6,7,RGB-augment
img4376,0.6111111111111112,0.7857142857142857,0.6875000000000001,0.8507733760115506,11,7,3,RGB-augment
img4386,0.88,0.7213114754098361,0.7927927927927928,0.7962131208054634,44,6,17,RGB-augment
img4387,0.8076923076923077,0.7777777777777778,0.7924528301886792,0.8080002338143101,42,10,12,RGB-augment
img4395,0.7222222222222222,0.5909090909090909,0.65,0.7947696032421222,13,5,9,RGB-augment
img4402,0.0,0.0,0.0,0.0,0,1,0,RGB-augment
