image,precision,recall,f1,mean_iou,true_pos,false_pos,false_neg,model
img3167,0.6818181818181818,0.45454545454545453,0.5454545454545454,0.767953882609574,15,7,18,RGB-origin
img3181,0.48,0.5714285714285714,0.5217391304347826,0.7456375389149846,12,13,9,RGB-origin
img3185,0.86,0.9148936170212766,0.8865979381443299,0.8635018958647994,43,7,4,RGB-origin
img3192,0.7777777777777778,0.6086956521739131,0.6829268292682927,0.858745358293625,14,4,9,RGB-origin
img3193,0.7142857142857143,0.5555555555555556,0.6250000000000001,0.8095566856537758,10,4,8,RGB-origin
img3198,1.0,0.7142857142857143,0.8333333333333333,0.7681382494967132,5,0,2,RGB-origin
img32,0.6666666666666666,0.5,0.5714285714285715,0.7842000167047705,4,2,4,RGB-origin
img3207,0.9333333333333333,0.9655172413793104,0.9491525423728815,0.8420366818149215,28,2,1,RGB-origin
img3209,0.8,0.7659574468085106,0.7826086956521738,0.782017843420991,36,9,11,RGB-origin
img321,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.8309457077607606,20,2,4,RGB-origin
img3214,0.8979591836734694,0.6470588235294118,0.7521367521367522,0.8032492025670636,44,5,24,RGB-origin
img3220,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.8623967891352069,41,6,6,RGB-origin
img3223,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.8477557132903633,58,8,8,RGB-origin
img3226,0.9047619047619048,0.8837209302325582,0.8941176470588236,0.8845529664682313,38,4,5,RGB-origin
img323,0.0,0.0,0.0,0.0,0,0,1,RGB-origin
img3232,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.8721114778775748,32,1,1,RGB-origin
img3234,0.9393939393939394,0.7560975609756098,0.8378378378378378,0.8292114822318325,31,2,10,RGB-origin
img3240,0.8205128205128205,0.6666666666666666,0.7356321839080459,0.7970697991437128,32,7,16,RGB-origin
img3245,0.56,0.6363636363636364,0.5957446808510639,0.7861486813667626,14,11,8,RGB-origin
img3248,0.5,1.0,0.6666666666666666,0.8355904543417652,4,4,0,RGB-origin
img3250,1.0,0.5,0.6666666666666666,0.6921297033558107,1,0,1,RGB-origin
img3252,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7801495454317449,31,13,13,RGB-origin
img3259,0.5,0.47058823529411764,0.48484848484848486,0.7712910196214589,16,16,18,RGB-origin
img3263,0.8837209302325582,0.8837209302325582,0.8837209302325582,0.8111159921310154,38,5,5,RGB-origin
img327,0.9,0.9473684210526315,0.9230769230769231,0.8658080297777269,18,2,1,RGB-origin
img3295,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.931444390571816,11,1,3,RGB-origin
img3298,0.8888888888888888,0.7142857142857143,0.792079207920792,0.8456561780843934,40,5,16,RGB-origin
img3315,0.8285714285714286,0.8055555555555556,0.8169014084507044,0.8258475928990585,29,6,7,RGB-origin
img3325,1.0,0.6,0.7499999999999999,0.8235436253623366,6,0,4,RGB-origin
img3331,0.6486486486486487,0.7272727272727273,0.6857142857142857,0.8021543875728296,24,13,9,RGB-origin
img3332,0.9705882352941176,0.9428571428571428,0.9565217391304348,0.8270051337611561,33,1,2,RGB-origin
img3334,0.9743589743589743,0.926829268292683,0.9500000000000001,0.8409690764229594,38,1,3,RGB-origin
img3343,1.0,0.96,0.9795918367346939,0.836353885787997,24,0,1,RGB-origin
img3344,0.5,0.625,0.5555555555555556,0.840007521142676,5,5,3,RGB-origin
img3347,0.8333333333333334,0.6896551724137931,0.7547169811320755,0.7986934317023675,20,4,9,RGB-origin
img3352,0.7647058823529411,0.7647058823529411,0.7647058823529412,0.7528084050603195,13,4,4,RGB-origin
img3353,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7953179155714132,8,4,4,RGB-origin
img3368,0.9056603773584906,0.75,0.8205128205128206,0.8117994480772124,48,5,16,RGB-origin
img339,0.9555555555555556,0.9347826086956522,0.945054945054945,0.8548419409761531,43,2,3,RGB-origin
img3390,0.8888888888888888,0.7804878048780488,0.8311688311688312,0.8302846313516299,32,4,9,RGB-origin
img3392,0.6428571428571429,0.6666666666666666,0.6545454545454545,0.8443939599596727,18,10,9,RGB-origin
img3402,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.8019021360759278,9,5,4,RGB-origin
img3405,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.8072711635435701,2,1,4,RGB-origin
img3407,0.72,0.6,0.6545454545454547,0.7942146162524762,18,7,12,RGB-origin
img343,0.9545454545454546,0.9333333333333333,0.9438202247191012,0.863296694599496,42,2,3,RGB-origin
